id,OVD_t1,OVD_t2,OVD_t3,OVD_sum,pay_normal,prod_code,prod_limit,new_balance,highest_balance,label,fea_1,fea_2,fea_3,fea_4,fea_5,fea_6,fea_7,fea_8,fea_9,fea_10,fea_11
54988608,0,0,0,0,3,10,37400.0,8425.2,7520.0,0,7,1214.0,3,60000.0,2,11,9,108,4,151300,158.11388300000002
59004828,0,0,0,0,3,10,88000.0,3196.8,6193.0,0,4,1274.0,1,132000.0,2,8,5,107,3,60016,202.4845673
58994429,0,0,0,0,2,10,16500.0,3252.0,3210.0,1,7,1295.0,3,73000.0,2,11,5,100,5,350076,223.6067977
58993672,0,0,0,0,3,10,16500.0,3487.2,3406.0,0,7,1415.0,3,155000.0,2,11,5,107,3,60005,212.1320344
59001751,0,0,0,0,2,10,108900.0,6094.8,101068.0,0,4,1346.0,1,102000.0,2,8,-1,100,5,60095,200.0
59004654,0,0,0,0,1,10,129800.0,17748.0,15290.0,0,4,1352.0,1,168000.0,2,8,5,105,3,60017,223.6067977
58994744,0,0,0,0,2,10,105600.0,1.2,3766.0,1,7,1332.5,1,141000.0,2,11,5,109,5,72412,1.0
54988051,0,0,0,0,1,10,116600.0,32210.4,27341.0,1,7,1266.5,1,103000.0,2,11,5,89,5,60061,1.0
58994035,0,0,0,0,1,10,57200.0,15753.6,13627.0,0,7,1302.5,1,110000.0,2,11,5,108,4,151002,1.0
54992357,0,0,0,0,3,10,104500.0,92110.8,77258.0,0,4,1257.5,3,81000.0,2,8,8,107,4,72001,1.0
54984524,0,0,0,0,2,10,100100.0,70514.4,59262.0,0,5,1350.5,1,155000.0,2,15,8,104,5,60004,1.0
59001175,0,0,0,0,1,10,63800.0,2050.8,2208.0,0,4,1292.0,1,117000.0,2,8,5,99,5,60052,200.0
58994856,0,0,0,0,3,10,58300.0,13995.6,53414.0,1,7,1215.5,3,60000.0,2,11,-1,112,4,450081,158.11388300000002
58982387,0,0,0,0,2,10,110000.0,26428.8,27303.0,0,1,1217.0,2,300000.0,2,4,-1,79,5,550007,1.0
58991158,0,0,0,0,1,10,82500.0,81030.0,68025.0,1,7,1205.0,3,77000.0,2,11,-1,85,5,151300,273.86127880000004
58987491,0,0,0,0,2,10,127600.0,46910.4,49591.0,0,5,1241.0,3,84000.0,2,15,5,87,3,60074,1.0
54988259,0,0,0,0,3,10,70400.0,39973.2,34710.0,0,7,1218.5,3,67000.0,1,11,5,114,4,72000,237.0442997
59003975,0,0,0,0,1,10,182600.0,24327.6,20773.0,0,4,1364.0,1,200000.0,2,8,5,90,3,60022,212.1320344
59003000,0,0,0,0,1,10,69300.0,39766.8,33639.0,0,4,1293.5,1,149000.0,2,8,-1,96,3,60023,1.0
58992868,0,0,0,0,1,10,68200.0,6244.8,5704.0,0,7,1316.0,1,117000.0,2,11,-1,110,5,361013,1.0
58995303,0,0,0,0,3,10,82500.0,24252.0,50050.0,1,7,1304.0,1,113000.0,2,11,9,112,4,350078,264.5751311
59002619,0,0,0,0,1,10,61600.0,6177.6,5648.0,0,4,1223.0,3,100000.0,2,8,9,114,4,60000,1.0
58993467,0,0,0,0,2,10,44000.0,47262.0,39884.0,0,7,1257.5,3,95000.0,1,11,4,111,4,450015,244.94897430000003
58987077,0,0,0,0,2,10,33000.0,31924.8,27104.0,0,5,1269.5,1,77000.0,1,15,-1,84,5,450000,167.33200530000002
54987316,0,0,0,0,3,10,22000.0,21976.8,19800.0,0,7,1257.5,3,107000.0,2,11,5,113,4,450071,200.0
