ammonia,chloramine,lead,nitrates,is_safe
0.7098930481283423,0.6078431372549019,0.4974874371859296,0.10126582278481011,1
0.4712566844919786,0.4878892733564014,0.3869346733668341,0.7164556962025317,0
0.3813502673796792,0.8327566320645905,0.07537688442211056,0.07088607594936708,1
0.8158422459893048,0.30680507497116494,0.5829145728643216,0.3407594936708861,1
0.48629679144385035,0.09111880046136102,0.6733668341708542,0.49316455696202527,1
0.18983957219251338,0.14648212226066898,0.10050251256281408,0.9412658227848102,0
0.6667780748663102,0.7162629757785466,0.9849246231155778,0.6906329113924051,0
0.8241978609625669,0.36101499423298733,0.8341708542713567,0.7417721518987342,1
0.5628342245989306,0.7370242214532872,0.5427135678391959,0.2420253164556962,1
0.12299465240641712,0.6620530565167243,0.7236180904522612,0.42835443037974685,0
0.7366310160427808,0.010380622837370242,0.050251256281407024,0.9311392405063291,1
0.6463903743315509,0.00461361014994233,0.5125628140703516,0.22075949367088607,1
0.804144385026738,0.07958477508650519,0.5025125628140703,0.05822784810126582,1
0.6316844919786097,0.6897347174163783,0.6281407035175879,0.8886075949367088,1
0.08322192513368984,0.22260668973471742,0.08040201005025126,0.10025316455696202,1
0.5320855614973262,0.6089965397923875,0.3969849246231155,0.09620253164556962,1
0.5718582887700535,0.8961937716262975,0.321608040201005,0.9037974683544304,1
0.6039438502673796,0.0,0.5376884422110552,0.40759493670886077,1
0.6373663101604278,0.5259515570934256,0.4271356783919597,0.47848101265822784,1
0.27406417112299464,0.3990772779700116,0.30150753768844213,0.45316455696202534,1
0.3592914438502674,0.4302191464821223,0.5678391959798994,0.6420253164556962,1
0.6925133689839573,0.8339100346020761,0.055276381909547735,0.47645569620253164,0
0.9067513368983958,0.46828143021914653,0.8341708542713567,0.7615189873417723,0
0.7403074866310161,0.8316032295271049,0.5427135678391959,0.09670886075949367,1
0.2302807486631016,0.2929642445213379,0.1507537688442211,0.8597468354430379,1
0.5086898395721926,0.7635524798154555,0.9095477386934672,0.0749367088607595,1
0.7647058823529412,0.6758938869665513,0.3919597989949748,0.4369620253164557,1
0.20655080213903745,0.328719723183391,0.055276381909547735,0.055696202531645575,1
0.8780080213903745,0.4602076124567474,0.06030150753768843,0.5564556962025317,1
0.529077540106952,0.48904267589388695,0.964824120603015,0.8749367088607595,0
0.13870320855614976,0.5236447520184544,0.6733668341708542,0.2643037974683544,1
0.77774064171123,0.5686274509803921,0.6180904522613064,0.09620253164556962,1
0.4398395721925134,0.328719723183391,0.4221105527638191,0.6050632911392406,0
0.6677807486631016,0.49480968858131485,0.7286432160804018,0.40253164556962023,0
0.3198529411764706,0.2572087658592849,0.8090452261306532,0.5767088607594937,0
0.7486631016042782,0.2756632064590542,0.23618090452261306,0.09012658227848101,0
0.03843582887700535,0.3333333333333333,0.40703517587939697,0.9569620253164557,1
0.9448529411764707,0.411764705882353,0.3919597989949748,0.7615189873417723,0
0.46189839572192515,0.3437139561707036,0.35175879396984916,0.9463291139240506,0
0.966577540106952,0.14417531718569782,0.7035175879396983,0.32759493670886075,0
0.3646390374331551,0.6193771626297577,0.6532663316582914,0.41518987341772157,0
0.30414438502673796,0.02422145328719723,0.3417085427135678,0.4263291139240506,1
0.017379679144385027,0.7035755478662052,0.6783919597989949,0.7220253164556962,1
0.7767379679144386,0.07727797001153403,0.829145728643216,0.5863291139240506,1
0.6981951871657754,0.8869665513264129,0.5577889447236181,0.5103797468354431,1
0.625668449197861,0.6297577854671279,0.8442211055276382,0.2541772151898734,0
0.3419117647058824,0.9181084198385235,0.5025125628140703,0.36506329113924046,1
0.2911096256684492,0.71280276816609,0.46231155778894467,0.5139240506329115,1
0.12065508021390374,0.46943483275663206,0.12060301507537688,0.8055696202531646,0
0.7125668449197861,0.28604382929642447,0.6934673366834171,0.8035443037974684,0
0.07653743315508021,0.10034602076124567,0.44723618090452255,0.5756962025316457,1
0.9782754010695188,0.12918108419838523,0.3366834170854271,0.5513924050632912,1
0.45688502673796794,0.4429065743944637,0.6130653266331657,0.27999999999999997,1
0.10762032085561497,0.7093425605536332,0.8844221105527637,0.8318987341772153,1
0.13034759358288772,0.8131487889273356,0.743718592964824,0.949873417721519,1
0.6697860962566846,0.5063437139561707,0.6030150753768844,0.37772151898734174,1
0.7489973262032086,0.7566320645905421,0.5226130653266331,0.2972151898734177,1
0.2934491978609626,0.24682814302191464,0.8391959798994975,0.12253164556962026,1
0.35661764705882354,0.273356401384083,0.6834170854271356,0.6992405063291139,1
0.2977941176470589,0.5490196078431372,0.9447236180904521,0.8222784810126582,1
0.46524064171123,0.8996539792387542,0.47236180904522607,0.6739240506329114,0
0.956885026737968,0.3206459054209919,0.26130653266331655,0.6217721518987341,0
0.6366978609625669,0.2041522491349481,0.5628140703517588,0.0759493670886076,0
0.2757352941176471,0.39100346020761245,0.8743718592964822,0.04,1
0.5594919786096257,0.5074971164936563,0.22110552763819094,0.43594936708860754,0
0.47526737967914445,0.6066897347174163,0.7286432160804018,0.390379746835443,1
